candidate_id,rank,score,reasoning
CAND_0077337,1,0.9735,"Staff Machine Learning Engineer with 7.0 yrs at Paytm; built retrieval/ranking/recommendation systems per the role descriptions, directly on-point for the JD; recruiter response 0.95; active 25d ago; open to work."
CAND_0002025,2,0.9659,"Senior AI Engineer with 5.9 yrs at Apple; built retrieval/ranking/recommendation systems per the role descriptions, directly on-point for the JD; recruiter response 0.80; active 25d ago; open to work."
CAND_0050876,3,0.9657,"Applied ML Engineer with 6.0 yrs at Freshworks; career history describes ranking/recommendation/search work, the core of this role's intelligence-layer mandate; recruiter response 0.67; active 25d ago; open to work; based in Kolkata, West Bengal (preferred metro)."
CAND_0081846,4,0.9635,"Lead AI Engineer with 6.7 yrs at Razorpay; hands-on retrieval/ranking/search experience in prior roles, matching the retrieval/ranking remit; recruiter response 0.73; active 48d ago; open to work."
CAND_0046525,5,0.9633,"Senior Machine Learning Engineer with 6.1 yrs at Genpact AI; built retrieval/ranking/search systems per the role descriptions, directly on-point for the JD; recruiter response 0.88; active 28d ago; open to work; based in Pune, Maharashtra (preferred metro)."
CAND_0018499,6,0.9513,"Senior Machine Learning Engineer with 7.2 yrs at Zomato; retrieval/ranking/search work runs through the career history, aligning with what the JD actually needs; recruiter response 0.61; active 38d ago; open to work; based in Noida, Uttar Pradesh (preferred metro)."
CAND_0041669,7,0.9511,"Recommendation Systems Engineer with 8.0 yrs at CRED; built retrieval/ranking/recommendation systems per the role descriptions, directly on-point for the JD; recruiter response 0.77; active 75d ago; open to work; based in Noida, Uttar Pradesh (preferred metro)."
CAND_0071974,8,0.9493,"Senior AI Engineer with 7.8 yrs at Netflix; hands-on retrieval/ranking/recommendation experience in prior roles, matching the retrieval/ranking remit; recruiter response 0.76; active 65d ago; open to work."
CAND_0079387,9,0.9442,"AI Engineer with 6.9 yrs at Microsoft; retrieval/ranking/recommendation work runs through the career history, aligning with what the JD actually needs; recruiter response 0.81; active 56d ago; open to work."
CAND_0004402,10,0.9403,"AI Research Engineer with 6.0 yrs at Yellow.ai; hands-on retrieval/ranking/recommendation experience in prior roles, matching the retrieval/ranking remit; recruiter response 0.83; active 26d ago; open to work; based in Delhi, Delhi (preferred metro)."
